,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
1,RENSHIRO,1.26,15-7 (+8),3-0 (+3),74%,0.79,63%,0,0,67%,Zofia,Mute
2,ELEMZJE,1.09,12-10 (+2),0-2 (-2),74%,0.63,47%,1,2,20%,Thermite,Smoke
3,MAGNET,0.81,12-16 (-4),1-2 (-1),63%,0.63,16%,0,0,33%,Buck,Smoke
4,LUSTY,0.81,11-18 (-7),0-0 (+0),58%,0.58,5%,0,3,45%,Thermite,Mozzie
5,RXWD,0.94,12-14 (-2),2-1 (+1),58%,0.63,26%,0,0,50%,Ash,Clash
6,SHAIIKO,1.58,23-12 (+11),7-2 (+5),95%,1.21,37%,0,0,74%,Hibana,Jager
7,VIR7UE,0.71,8-13 (-5),0-4 (-4),42%,0.42,32%,1,1,38%,Zofia,Jager
8,MENTALISTC,0.62,8-17 (-9),2-1 (+1),37%,0.42,11%,1,0,57%,Nomad,Goyo
9,TEX,0.67,11-18 (-7),4-5 (-1),47%,0.58,5%,0,0,73%,Ash,Maestro
0,RAFALE,0.78,17-26 (-9),1-1 (+0),49%,0.46,30%,1,2,53%,Thermite,Smoke
1,RENSHIRO,0.89,24-29 (-5),3-4 (-1),59%,0.65,22%,0,0,64%,Zofia,Kaid
2,PSYCHO,1.13,29-23 (+6),5-5 (+0),68%,0.78,38%,1,0,64%,Hibana,Doc
3,KAMIKAZE,0.85,15-24 (-9),0-1 (-1),65%,0.41,35%,0,4,54%,Thermite,Kaid
4,JULIO,1.09,28-22 (+6),1-6 (-5),68%,0.76,41%,0,1,43%,Thatcher,Castle
5,ELEMZJE,0.99,30-28 (+2),6-5 (+1),59%,0.81,24%,0,0,48%,Sledge,Smoke
6,RXWD,0.82,17-26 (-9),2-3 (-1),57%,0.46,30%,0,1,29%,Buck,Maestro
7,SHAIIKO,1.12,32-25 (+7),8-4 (+4),65%,0.86,32%,1,0,68%,Ash,Jager
8,PINO,1.01,26-25 (+1),4-5 (-1),65%,0.7,32%,1,0,60%,Buck,Mute
9,MUZI,1.18,35-26 (+9),7-3 (+4),68%,0.95,30%,0,1,51%,Zofia,Jager
0,GEOO,0.71,13-18 (-5),0-1 (-1),50%,0.59,18%,0,0,54%,Nomad,Maestro
1,POJOMAN,0.76,8-17 (-9),0-2 (-2),59%,0.36,23%,0,3,63%,Hibana,Smoke
2,PSYCHO,1.15,19-15 (+4),2-2 (+0),77%,0.86,32%,0,0,33%,Hibana,Jager
