,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
0,SHUTTLE,1.08,16-13 (+3),2-1 (+1),76%,0.76,38%,0,0,47%,Lion,Mira
1,SKYS,1.35,24-14 (+10),6-1 (+5),76%,1.14,33%,0,0,35%,Zofia,Vigil
2,LAXING,1.05,15-15 (+0),3-1 (+2),76%,0.71,29%,1,0,33%,Buck,Lesion
3,CHAP,0.62,5-17 (-12),0-3 (-3),57%,0.24,19%,0,2,40%,Thermite,Smoke
4,ENGLAND,0.85,12-16 (-4),4-0 (+4),57%,0.57,24%,0,1,64%,Glaz,Castle
5,FOXA,0.75,11-16 (-5),0-6 (-6),57%,0.52,24%,0,0,67%,Glaz,Castle
6,GODDESS,0.94,13-15 (-2),1-2 (-1),67%,0.62,29%,0,1,50%,Thermite,Bandit
7,SHLONGII,1.24,21-13 (+8),3-4 (-1),62%,1,38%,0,0,33%,Montagne,Jager
8,EVLWAFFLE,1.13,16-11 (+5),2-0 (+2),57%,0.76,48%,0,2,36%,Thermite,Mira
9,RETRO,0.88,13-17 (-4),0-3 (-3),71%,0.62,19%,0,0,23%,Hibana,Smoke
0,YELLOW,1.11,20-17 (+3),3-2 (+1),70%,0.87,26%,0,0,58%,Twitch,Jager
1,BILLBOARD,1.11,19-15 (+4),2-2 (+0),61%,0.83,35%,0,1,21%,Blackbeard,Smoke
2,TALON,1.03,16-16 (+0),3-4 (-1),61%,0.7,30%,1,2,56%,Hibana,Bandit
3,COOKIEZ,1.03,16-15 (+1),1-1 (+0),74%,0.7,35%,0,0,36%,Thermite,Mira
4,KUUSH,0.53,7-20 (-13),2-3 (-1),48%,0.3,13%,0,0,50%,Glaz,Pulse
5,BREEZY,0.72,11-17 (-6),0-4 (-4),52%,0.48,26%,0,0,50%,Lion,Echo
6,HEAVY,1.18,19-11 (+8),5-2 (+3),61%,0.83,52%,1,1,21%,Glaz,Castle
7,ACID,0.97,11-16 (-5),1-0 (+1),74%,0.48,30%,0,4,40%,Thermite,Mira
8,RAMPY,1.02,18-16 (+2),2-3 (-1),61%,0.78,30%,0,0,41%,Zofia,Jager
9,YETI,1.28,24-18 (+6),4-2 (+2),83%,1.04,22%,0,0,57%,Hibana,Smoke
0,NECROX,1.09,23-20 (+3),1-1 (+0),69%,0.79,31%,1,1,35%,Glaz,Smoke
1,YUNG,0.97,20-21 (-1),5-1 (+4),69%,0.69,28%,0,0,42%,Hibana,Smoke
2,BC,0.79,13-20 (-7),0-1 (-1),62%,0.45,31%,0,0,50%,Lion,Mira
3,NVK,1.02,19-19 (+0),3-6 (-3),69%,0.66,34%,0,1,63%,Zofia,Vigil
4,CANADIAN,1.01,24-20 (+4),6-4 (+2),59%,0.83,31%,0,0,39%,IQ,Bandit
5,BRYAN,0.94,19-20 (-1),2-4 (-2),69%,0.66,31%,1,0,21%,Thatcher,Smoke
6,EASILYY,1.19,23-17 (+6),3-2 (+1),69%,0.79,41%,1,3,52%,Lion,Echo
7,SLASHUG,0.85,20-26 (-6),5-3 (+2),62%,0.69,10%,0,0,47%,IQ,Vigil
8,ECL9PSE,1.15,24-17 (+7),2-3 (-1),59%,0.83,41%,2,1,41%,Zofia,Jager
9,GEOO,0.74,14-21 (-7),1-3 (-2),45%,0.48,28%,0,1,38%,Lion,Bandit
0,SHUTTLE,1.35,22-11 (+11),2-0 (+2),70%,1.1,45%,0,0,55%,Lion,Mira
1,SKYS,1.12,16-13 (+3),3-5 (-2),65%,0.8,35%,1,0,69%,Zofia,Jager
2,LAXING,1.28,20-14 (+6),2-1 (+1),80%,1,30%,0,1,50%,Blackbeard,Castle
3,CHAP,0.79,10-15 (-5),2-2 (+0),50%,0.5,25%,1,1,44%,Thermite,Smoke
4,ENGLAND,0.72,7-13 (-6),1-2 (-1),50%,0.35,35%,0,1,43%,Glaz,Valkyrie
5,YELLOW,0.71,9-17 (-8),2-1 (+1),55%,0.45,15%,0,1,50%,Blitz,Jager
6,BILLBOARD,0.58,9-17 (-8),2-3 (-1),40%,0.45,15%,0,0,33%,Lion,Smoke
7,TALON,1.48,23-11 (+12),3-2 (+1),80%,1.15,45%,1,1,41%,Finka,Bandit
8,COOKIEZ,0.85,9-15 (-6),1-1 (+0),75%,0.45,25%,0,1,57%,Hibana,Mira
9,KUUSH,1.03,16-15 (+1),2-3 (-1),70%,0.8,25%,0,0,75%,Dokkaebi,Lesion
0,BRYAN,0.93,9-9 (+0),1-2 (-1),57%,0.64,36%,0,0,22%,Hibana,Smoke
1,EASILYY,1.31,14-8 (+6),0-2 (-2),79%,1,43%,0,0,50%,Lion,Pulse
2,SLASHUG,1.37,15-7 (+8),2-2 (+0),64%,1.07,50%,0,3,60%,Jackal,Rook
3,ECL9PSE,0.79,10-14 (-4),0-4 (-4),64%,0.71,0%,0,0,67%,Sledge,Bandit
4,GEOO,1.18,9-6 (+3),1-0 (+1),86%,0.64,57%,1,0,78%,Buck,Mira
5,CHALA,1,10-11 (-1),1-1 (+0),64%,0.71,21%,0,2,44%,Thermite,Smoke
6,DAAVE,0.8,8-12 (-4),3-0 (+3),57%,0.57,14%,0,0,63%,Lion,Bandit
7,THINKINGNADE,1.25,14-9 (+5),3-1 (+2),71%,1,36%,0,0,33%,Buck,Mute
8,TRIPPEN,0.9,10-12 (-2),3-0 (+3),50%,0.71,14%,0,1,60%,Ash,Mira
9,REDEEMER,0.3,2-13 (-11),0-2 (-2),29%,0.14,7%,0,0,50%,Lion,Lesion
0,NECROX,0.96,8-9 (-1),0-1 (-1),57%,0.57,36%,0,2,25%,Glaz,Smoke
1,YUNG,1.3,12-6 (+6),1-2 (-1),71%,0.86,57%,0,1,17%,Hibana,Smoke
2,BC,0.77,5-9 (-4),0-1 (-1),57%,0.36,36%,1,0,80%,Lion,Mira
3,NVK,1.38,16-9 (+7),1-1 (+0),79%,1.14,36%,0,0,50%,Zofia,Vigil
4,CANADIAN,1,11-10 (+1),4-3 (+1),50%,0.79,29%,0,1,60%,Buck,Pulse
5,ADAM,1.05,12-10 (+2),3-2 (+1),43%,0.86,29%,0,0,67%,Thermite,Rook
6,MINT,0.57,6-11 (-5),0-2 (-2),36%,0.43,21%,0,0,33%,Glaz,Mira
7,HOTANCOLD,0.67,7-13 (-6),3-2 (+1),57%,0.5,7%,0,0,57%,Buck,Doc
8,JARVIS,1.22,11-8 (+3),2-0 (+2),79%,0.79,43%,0,2,30%,Sledge,Pulse
9,POJOMAN,0.8,7-11 (-4),0-0 (+0),57%,0.5,21%,0,1,14%,Hibana,Smoke
0,BEASTLY,1.12,17-18 (-1),1-0 (+1),83%,0.74,22%,0,3,27%,Lion,Pulse
1,VANDAL,1.23,19-12 (+7),3-2 (+1),70%,0.83,48%,1,1,41%,Thermite,Smoke
2,MARKTHESHARK,0.79,13-19 (-6),3-4 (-1),61%,0.57,17%,0,0,50%,Lion,Castle
3,NEPTUNEZ,0.91,14-18 (-4),0-1 (-1),70%,0.61,22%,0,1,62%,Hibana,Echo
4,VERTCL,1.01,18-16 (+2),3-6 (-3),57%,0.78,30%,1,1,47%,Hibana,Pulse
5,ADAM,1.06,17-18 (-1),3-3 (+0),74%,0.74,22%,0,2,53%,Zofia,Echo
6,MINT,0.89,12-16 (-4),2-1 (+1),61%,0.52,30%,1,1,25%,Blitz,Bandit
7,HOTANCOLD,1.19,23-18 (+5),6-2 (+4),74%,1,22%,1,0,55%,Lion,Valkyrie
8,JARVIS,1.09,17-14 (+3),2-1 (+1),74%,0.74,39%,0,0,60%,Buck,Vigil
9,POJOMAN,0.91,13-15 (-2),0-3 (-3),61%,0.57,35%,0,3,38%,Thermite,Mira
0,BENJI,0.86,15-20 (-5),0-2 (-2),68%,0.54,29%,1,0,36%,Lion,Bandit
1,MAHMAN,1.16,24-20 (+4),6-5 (+1),79%,0.86,29%,0,0,61%,Buck,Smoke
2,BOSCO,1.08,25-21 (+4),4-4 (+0),61%,0.89,25%,1,0,32%,Sledge,Smoke
3,KRAZY,1.11,20-17 (+3),2-1 (+1),71%,0.71,39%,1,3,30%,Hibana,Castle
4,GURMY,0.89,14-21 (-7),1-2 (-1),64%,0.5,25%,0,6,27%,Thermite,Mira
5,CHALA,1.03,20-21 (-1),6-1 (+5),75%,0.71,25%,1,1,30%,Thermite,Smoke
6,DAAVE,0.69,12-22 (-10),2-4 (-2),50%,0.43,21%,0,0,58%,Lion,Jager
7,THINKINGNADE,0.99,19-18 (+1),0-4 (-4),61%,0.68,36%,0,2,41%,Buck,Pulse
8,TRIPPEN,1.11,25-22 (+3),3-4 (-1),57%,0.89,21%,1,1,52%,Ash,Mira
9,REDEEMER,1.22,23-16 (+7),3-0 (+3),79%,0.82,43%,1,0,35%,Blackbeard,Lesion
0,SHUTTLE,0.96,9-13 (-4),0-1 (-1),80%,0.6,13%,0,1,75%,Lion,Mira
1,SKYS,0.63,7-12 (-5),1-4 (-3),40%,0.47,20%,0,1,71%,Ash,Pulse
2,LAXING,1.2,14-11 (+3),1-1 (+0),67%,0.93,27%,1,0,29%,Jackal,Mute
3,CHAP,0.73,7-12 (-5),1-3 (-2),53%,0.47,20%,0,1,43%,Thermite,Smoke
4,ENGLAND,0.86,10-12 (-2),1-2 (-1),60%,0.67,20%,0,0,60%,Glaz,Castle
5,BEASTLY,0.98,9-8 (+1),1-1 (+0),67%,0.6,47%,0,0,33%,Sledge,Castle
6,VANDAL,1.26,10-7 (+3),1-1 (+0),80%,0.67,53%,2,1,22%,Ying,Smoke
7,MARKTHESHARK,0.97,11-11 (+0),2-1 (+1),67%,0.73,27%,0,0,27%,Lion,Lesion
8,NEPTUNEZ,1.38,15-9 (+6),2-0 (+2),80%,1,40%,1,2,38%,Hibana,Smoke
9,VERTCL,1.17,15-12 (+3),5-1 (+4),67%,1,20%,0,0,40%,IQ,Caveira
0,BRYAN,0.95,16-17 (-1),3-2 (+1),59%,0.59,37%,1,0,40%,Hibana,Smoke
1,EASILYY,1.21,21-16 (+5),3-1 (+2),70%,0.78,41%,1,1,44%,Lion,Mira
2,SLASHUG,0.91,15-18 (-3),3-4 (-1),63%,0.56,33%,1,1,57%,Capitao,Valkyrie
3,ECL9PSE,1.09,23-19 (+4),2-2 (+0),67%,0.85,30%,0,1,59%,Zofia,Jager
4,GEOO,1.15,23-20 (+3),2-5 (-3),78%,0.85,26%,0,3,48%,Ying,Bandit
5,ADAM,0.75,13-22 (-9),2-5 (-3),63%,0.48,19%,1,0,54%,Sledge,Smoke
6,MINT,1.31,27-15 (+12),3-2 (+1),74%,1,44%,1,0,48%,Ying,Mira
7,HOTANCOLD,1.2,25-19 (+6),7-3 (+4),74%,0.93,30%,1,0,48%,Lion,Lesion
8,JARVIS,0.73,10-22 (-12),1-1 (+0),63%,0.37,19%,0,2,60%,Dokkaebi,Pulse
9,POJOMAN,0.84,15-20 (-5),1-2 (-1),59%,0.56,26%,0,2,27%,Hibana,Mira
0,BENJI,1.19,10-5 (+5),0-0 (+0),77%,0.77,62%,0,0,50%,Lion,Bandit
1,MAHMAN,1.1,12-10 (+2),2-2 (+0),62%,0.92,23%,0,0,73%,Buck,Mute
2,BOSCO,1.65,18-5 (+13),2-0 (+2),77%,1.38,62%,0,0,44%,Sledge,Smoke
3,KRAZY,1.03,8-7 (+1),0-1 (-1),77%,0.62,46%,0,0,75%,Thatcher,Lesion
4,GURMY,1.1,7-7 (+0),3-2 (+1),77%,0.54,46%,0,2,43%,Thermite,Mira
5,YELLOW,0.76,8-11 (-3),1-2 (-1),54%,0.62,15%,0,0,50%,Capitao,Vigil
6,BILLBOARD,0.72,7-12 (-5),1-1 (+0),62%,0.54,8%,0,0,43%,Thatcher,Smoke
7,TALON,0.9,11-11 (+0),1-1 (+0),54%,0.85,15%,0,0,60%,Zofia,Pulse
8,COOKIEZ,0.82,6-9 (-3),1-1 (+0),46%,0.46,31%,1,0,20%,Lion,Valkyrie
9,NINELINE,0.46,1-12 (-11),1-2 (-1),46%,0.08,8%,0,1,100%,Hibana,Mira
0,NECROX,1.11,15-11 (+4),1-3 (-2),65%,0.88,35%,0,0,53%,Glaz,Smoke
1,YUNG,1.45,17-9 (+8),2-0 (+2),88%,1,47%,0,2,38%,Hibana,Mira
2,BC,1.19,13-10 (+3),2-1 (+1),71%,0.76,41%,2,1,46%,Lion,Castle
3,NVK,0.98,10-13 (-3),0-3 (-3),59%,0.59,24%,1,1,70%,Zofia,Vigil
4,CANADIAN,0.76,9-12 (-3),0-5 (-5),47%,0.53,29%,0,2,17%,IQ,Pulse
5,CHALA,1.33,18-11 (+7),7-0 (+7),71%,1.06,35%,0,1,28%,Hibana,Smoke
6,DAAVE,0.84,12-14 (-2),1-1 (+0),53%,0.71,18%,0,0,25%,Lion,Bandit
7,THINKINGNADE,1.07,11-12 (-1),2-0 (+2),76%,0.65,29%,0,1,44%,IQ,Pulse
8,TRIPPEN,0.57,4-13 (-9),1-1 (+0),47%,0.24,24%,0,0,25%,Thermite,Castle
9, REDEEMER,0.83,9-14 (-5),1-3 (-2),65%,0.53,18%,0,1,11%,Blackbeard,Lesion
0,NECROX,1.39,11-4 (+7),1-1 (+0),83%,0.92,67%,0,1,50%,Hibana,Smoke
1,YUNG,1.51,9-4 (+5),0-1 (-1),100%,0.75,67%,0,1,63%,Blitz,Lesion
2,BC,1.23,9-4 (+5),0-0 (+0),75%,0.75,67%,0,0,50%,Lion,Mira
3,NVK,1.58,16-7 (+9),5-1 (+4),75%,1.33,42%,0,0,50%,Zofia,Mute
4,CANADIAN,1.28,11-5 (+6),1-2 (-1),75%,0.92,58%,0,0,40%,Ash,Pulse
5,YELLOW,0.31,3-12 (-9),0-3 (-3),33%,0.25,0%,0,0,100%,Ash,Vigil
6,BILLBOARD,0.77,7-10 (-3),0-1 (-1),50%,0.58,17%,0,1,67%,Thatcher,Smoke
7,TALON,0.63,6-11 (-5),4-2 (+2),42%,0.5,8%,0,0,50%,Lion,Valkyrie
8,COOKIEZ,0.6,6-11 (-5),0-0 (+0),42%,0.5,8%,0,0,67%,Thermite,Doc
9,NINELINE,0.29,2-12 (-10),1-1 (+0),25%,0.17,0%,0,0,100%,Blitz,Mira
0,MAHMAN,0.7,11-18 (-7),1-6 (-5),52%,0.48,22%,0,0,40%,Ying,Pulse
1,BOSCO,1.2,21-15 (+6),2-0 (+2),70%,0.91,35%,0,0,47%,Sledge,Smoke
2,KRAZY,0.95,14-14 (+0),2-1 (+1),48%,0.61,39%,1,0,62%,Thatcher,Bandit
3,GURMY,0.89,15-18 (-3),1-3 (-2),57%,0.65,22%,0,4,46%,Hibana,Mira
4,SNAKE,1.09,18-16 (+2),5-2 (+3),65%,0.78,30%,0,1,71%,Lion,Bandit
5,CHALA,0.93,15-17 (-2),1-1 (+0),48%,0.65,26%,0,3,46%,Thermite,Bandit
6,DAAVE,0.67,9-18 (-9),5-6 (-1),48%,0.39,22%,1,1,57%,Lion,Jager
7,THINKINGNADE,1.11,19-15 (+4),2-3 (-1),70%,0.83,35%,0,0,63%,Buck,Smoke
8,TRIPPEN,0.84,14-16 (-2),0-1 (-1),48%,0.61,30%,0,1,46%,Ash,Mira
9,REDEEMER,1.38,23-13 (+10),4-0 (+4),83%,1,43%,1,0,22%,Blackbeard,Jager
0,BRYAN,1.05,9-6 (+3),0-0 (+0),64%,0.64,57%,0,0,63%,Thatcher,Smoke
1,EASILYY,1.66,17-6 (+11),4-1 (+3),93%,1.21,57%,0,2,65%,Thermite,Mute
2,SLASHUG,1.32,12-6 (+6),3-0 (+3),79%,0.86,57%,0,1,75%,Ying,Pulse
3,ECL9PSE,1.02,10-8 (+2),1-3 (-2),64%,0.71,43%,0,0,63%,IQ,Ela
4,GEOO,1.04,8-7 (+1),1-1 (+0),71%,0.57,50%,0,1,50%,Hibana,Castle
5,SHUTTLE,0.72,7-12 (-5),1-2 (-1),57%,0.5,14%,0,0,33%,Hibana,Mira
6,SKYS,0.7,5-10 (-5),0-2 (-2),64%,0.36,29%,0,0,80%,Buck,Vigil
7,LAXING,0.85,10-11 (-1),1-1 (+0),43%,0.71,21%,0,0,30%,Lion,Bandit
8,CHAP,0.78,7-10 (-3),2-1 (+1),43%,0.5,29%,1,1,60%,Thermite,Smoke
9,ENGLAND,0.3,3-13 (-10),1-3 (-2),29%,0.21,7%,0,0,100%,Ying,Castle
0,BEASTLY,0.96,13-15 (-2),1-4 (-3),67%,0.72,17%,1,0,38%,Sledge,Castle
1,VANDAL,0.7,3-13 (-10),0-0 (+0),67%,0.17,28%,0,3,0%,Ying,Smoke
2,MARKTHESHARK,1.09,16-15 (+1),5-0 (+5),78%,0.89,17%,0,0,63%,IQ,Pulse
3,NEPTUNEZ,1.3,17-12 (+5),1-0 (+1),89%,0.94,33%,0,1,50%,Thatcher,Mira
4,VERTCL,1.13,18-14 (+4),3-3 (+0),56%,1,22%,0,1,39%,Lion,Echo
5,ADAM,1.06,12-12 (+0),1-5 (-4),72%,0.67,33%,1,1,18%,Jackal,Mira
6,MINT,1.13,17-15 (+2),2-1 (+1),72%,0.94,17%,0,0,53%,Thatcher,Mira
7,HOTANCOLD,1.08,15-13 (+2),1-1 (+0),56%,0.83,28%,0,0,53%,Hibana,Pulse
8,JARVIS,0.69,8-17 (-9),2-2 (+0),39%,0.44,6%,1,0,57%,Buck,Valkyrie
9,POJOMAN,1.34,16-10 (+6),1-1 (+0),67%,0.89,44%,1,4,38%,Lion,Smoke
0,APPROX,1.09,13-11 (+2),2-1 (+1),64%,0.93,21%,0,0,69%,Ash,Lesion
1,JAHK,0.64,8-13 (-5),2-4 (-2),43%,0.57,7%,0,0,63%,Lion,Jager
2,SPOKEN,0.98,12-11 (+1),0-0 (+0),57%,0.86,21%,0,0,70%,Hibana,Mira
3,MEECHY,0.61,3-11 (-8),0-1 (-1),43%,0.21,21%,1,0,67%,Buck,Smoke
4,MEEPEY,1.4,15-9 (+6),1-0 (+1),79%,1.07,36%,1,1,33%,Glaz,Valkyrie
5,ELEMZJE,1.37,13-6 (+7),1-2 (-1),64%,0.93,57%,1,0,17%,Buck,Smoke
6,LACKY,0.87,7-9 (-2),1-2 (-1),64%,0.5,36%,0,0,17%,Lion,Pulse
7,LEONGIDS,1.34,14-11 (+3),4-2 (+2),79%,1,21%,1,0,38%,IQ,Mute
8,STIZZE,0.97,8-10 (-2),1-0 (+1),64%,0.57,29%,0,2,63%,Hibana,Lesion
9,AHERYS,0.91,9-11 (-2),2-2 (+0),71%,0.64,21%,0,0,56%,Blackbeard,Bandit
0,BOUNSSI,1.1,17-16 (+1),2-3 (-1),64%,0.68,36%,1,4,29%,Twitch,Smoke
1,WILLKEY,0.97,17-19 (-2),2-2 (+0),68%,0.68,24%,0,1,53%,IQ,Valkyrie
2,KANTO,1.05,20-19 (+1),4-2 (+2),72%,0.8,24%,0,0,68%,Zofia,Lesion
3,PANNARI,0.81,13-20 (-7),2-1 (+1),64%,0.52,20%,0,0,62%,Dokkaebi,Mira
4,UUNO,1.23,24-20 (+4),5-2 (+3),80%,0.96,20%,1,0,25%,Hibana,Jager
5,ALIVE ,0.68,12-21 (-9),4-4 (+0),48%,0.48,16%,1,0,58%,Ash,Mira
6,TACTISS,0.93,18-20 (-2),1-3 (-2),56%,0.72,20%,0,0,35%,Capitao,Smoke
7,DJUZ,1.24,26-18 (+8),3-4 (-1),60%,1.04,28%,0,0,36%,Hibana,Jager
8,ANTHRAX,0.92,12-16 (-4),0-2 (-2),68%,0.48,36%,0,3,70%,Thermite,Mira
9,KSIIX,1.25,24-16 (+8),2-2 (+0),72%,0.96,36%,1,0,63%,Sledge,Bandit
0,GOGA,0.88,14-20 (-6),1-1 (+0),65%,0.54,23%,0,3,36%,Hibana,Jager
1,FABIAN,0.97,18-19 (-1),2-2 (+0),62%,0.69,27%,1,1,56%,Lion,Lesion
2,JOONAS,1.11,21-20 (+1),4-5 (-1),62%,0.81,23%,1,2,57%,Zofia,Bandit
3,PENGU,1.3,27-18 (+9),2-4 (-2),65%,1.04,31%,1,0,56%,Twitch,Smoke
4,SHA77E,1.05,18-19 (-1),3-2 (+1),77%,0.69,27%,0,1,60%,Sledge,Mira
5,LIVEN,1.09,19-18 (+1),5-1 (+4),65%,0.73,31%,1,1,20%,Sledge,Bandit
6,RENSHIRO,1,18-17 (+1),2-4 (-2),65%,0.69,35%,1,0,53%,Blackbeard,Mira
7,HICKS,0.78,14-22 (-8),3-5 (-2),58%,0.54,15%,0,2,62%,Hibana,Valkyrie
8,JOGHURTZZ,1.17,25-19 (+6),2-0 (+2),73%,0.96,27%,0,1,56%,Lion,Lesion
9,RISZE,0.89,19-22 (-3),2-2 (+0),62%,0.73,15%,0,0,63%,IQ,Jager
0,BOUNSSI,1,10-12 (-2),0-1 (-1),86%,0.48,43%,0,1,67%,Twitch,Smoke
1,WILLKEY,1.1,17-13 (+4),0-6 (-6),71%,0.81,38%,0,0,38%,Buck,Mute
2,KANTO,1.56,28-14 (+14),7-4 (+3),76%,1.33,33%,0,1,63%,Ying,Lesion
3,PANNARI,0.83,11-15 (-4),1-1 (+0),67%,0.52,29%,0,0,56%,Lion,Mira
4,UUNO,1.45,23-10 (+13),1-0 (+1),71%,1.1,52%,1,2,55%,Hibana,Jager
5,APPROX,1.2,18-16 (+2),2-0 (+2),62%,0.86,24%,2,0,61%,Ash,Mira
6,JAHK,0.62,8-20 (-12),3-3 (+0),52%,0.38,5%,0,1,50%,Lion,Lesion
7,SPOKEN,0.87,10-16 (-6),1-1 (+0),52%,0.48,24%,2,3,70%,Hibana,Ela
8,MEECHY,0.64,9-19 (-10),2-2 (+0),57%,0.43,10%,0,0,33%,IQ,Smoke
9,AHERYS,0.99,18-19 (-1),4-3 (+1),57%,0.86,10%,1,0,29%,Capitao,Bandit
0,LIVEN,1.25,16-10 (+6),2-2 (+0),74%,0.84,47%,1,0,50%,Dokkaebi,Bandit
1,RENSHIRO,1.27,17-10 (+7),2-1 (+1),79%,0.89,47%,0,0,71%,Lion,Mira
2,HICKS,1.11,13-10 (+3),3-2 (+1),79%,0.68,47%,0,1,42%,Hibana,Smoke
3,JOGHURTZZ,1.09,16-11 (+5),1-0 (+1),58%,0.84,42%,0,0,56%,Ash,Bandit
4,RISZE,1.04,16-15 (+1),4-2 (+2),63%,0.84,21%,0,0,31%,Zofia,Jager
5,KS,0.88,11-16 (-5),1-1 (+0),53%,0.58,16%,1,2,82%,Lion,Mira
6,PARAA,0.37,5-17 (-12),1-7 (-6),21%,0.26,11%,0,0,60%,Ash,Vigil
7,RIPZ,1.16,18-15 (+3),2-1 (+1),68%,0.95,21%,1,0,50%,Glaz,Mute
8,HUNGRY,0.95,13-16 (-3),2-1 (+1),58%,0.68,16%,1,0,50%,Ying,Smoke
9,VALE,0.8,9-14 (-5),1-2 (-1),53%,0.47,26%,0,3,56%,Hibana,Lesion
0,GOGA,0.77,9-14 (-5),1-3 (-2),59%,0.41,36%,0,0,44%,Hibana,Jager
1,FABIAN,1.06,17-15 (+2),1-2 (-1),64%,0.77,32%,1,0,67%,Lion,Lesion
2,JOONAS,0.87,14-15 (-1),1-5 (-4),55%,0.64,32%,0,1,38%,Zofia,Bandit
3,PENGU,1.61,30-12 (+18),2-2 (+0),73%,1.36,45%,1,0,21%,Twitch,Smoke
4,SHA77E,0.95,12-13 (-1),1-4 (-3),73%,0.55,41%,0,0,55%,Blitz,Mira
5,RAFALE,0.66,9-18 (-9),1-1 (+0),45%,0.41,18%,0,2,63%,Thermite,Bandit
6,BIBOO,1.35,24-15 (+9),8-3 (+5),73%,1.09,32%,2,1,57%,Ash,Lesion
7,ZEPHIR,0.59,6-17 (-11),1-0 (+1),50%,0.27,23%,0,0,17%,Glaz,Jager
8,SPARK,0.91,15-17 (-2),5-2 (+3),59%,0.68,23%,0,0,57%,Lion,Valkyrie
9,BRID,0.98,15-15 (+0),1-0 (+1),73%,0.68,32%,0,0,23%,Hibana,Mira
0,RENUILZ,0.79,7-11 (-4),1-1 (+0),57%,0.5,21%,0,1,33%,Thermite,Mute
1,SECRETLY,0.49,4-13 (-9),1-3 (-2),50%,0.29,7%,0,0,67%,Thatcher,Pulse
2,KRIPPS,0.99,11-10 (+1),2-4 (-2),57%,0.79,29%,0,1,45%,Zofia,Jager
3,REDGROOVE,0.9,10-12 (-2),0-0 (+0),57%,0.71,14%,0,0,50%,Blitz,Mira
4,SNOOKEN,0.78,7-12 (-5),1-1 (+0),64%,0.5,14%,0,0,71%,Lion,Smoke
5,RAFALE,0.89,5-7 (-2),0-1 (-1),64%,0.36,50%,0,1,40%,Ying,Mira
6,BIBOO,1.19,13-11 (+2),3-1 (+2),86%,0.93,21%,0,0,67%,Zofia,Lesion
7,ZEPHIR,0.98,8-9 (-1),3-0 (+3),79%,0.57,36%,0,0,13%,Glaz,Smoke
8,SPARK,1.4,15-8 (+7),2-2 (+0),79%,1.07,43%,1,2,57%,Hibana,Valkyrie
9,BRID,1.66,17-4 (+13),1-1 (+0),86%,1.21,71%,1,1,86%,Lion,Mira
0,LIVEN,1.12,23-22 (+1),2-2 (+0),72%,0.79,24%,0,1,45%,Sledge,Mute
1,RENSHIRO,1.26,28-17 (+11),1-6 (-5),69%,0.97,41%,0,1,67%,Blackbeard,Mira
2,HICKS,0.79,13-21 (-8),0-3 (-3),62%,0.45,28%,0,1,50%,Hibana,Smoke
3,JOGHURTZZ,0.9,18-19 (-1),2-5 (-3),66%,0.62,34%,0,0,44%,Lion,Lesion
4,RISZE,1.24,28-23 (+5),4-4 (+0),83%,0.97,21%,1,1,38%,IQ,Jager
5,PANIX,0.9,19-24 (-5),8-4 (+4),59%,0.66,17%,1,0,61%,Zofia,Castle
6,ENEMY,0.93,20-21 (-1),5-1 (+4),62%,0.69,28%,0,1,32%,Thatcher,Smoke
7,SNKY,1.13,24-22 (+2),3-0 (+3),66%,0.83,24%,2,2,48%,Thatcher,Valkyrie
8,REVAN,1.02,22-23 (-1),4-3 (+1),66%,0.76,21%,0,3,55%,Lion,Pulse
9,VOY,0.88,16-21 (-5),0-1 (-1),66%,0.55,28%,1,1,44%,Glaz,Mira
0, BOUNSSI,0.35,4-14 (-10),0-1 (-1),27%,0.27,7%,0,0,50%,Thatcher,Smoke
1,WILLKEY,0.46,1-13 (-12),0-3 (-3),47%,0.07,13%,0,1,100%,Hibana,Echo
2,KANTO,1.08,13-11 (+2),4-3 (+1),67%,0.87,27%,0,0,54%,Glaz,Bandit
3,PANNARI,0.94,11-12 (-1),1-1 (+0),60%,0.73,20%,0,0,40%,Lion,Mira
4,UUNO,0.82,8-11 (-3),0-2 (-2),47%,0.53,27%,1,0,43%,Ying,Mute
5,RAFALE,1.15,10-7 (+3),1-0 (+1),60%,0.67,53%,0,3,30%,Thermite,Smoke
6,BIBOO,1.16,14-9 (+5),4-2 (+2),60%,0.93,40%,0,0,36%,Ash,Castle
7,ZEPHIR,1.22,10-5 (+5),1-1 (+0),93%,0.67,67%,0,0,50%,Thatcher,Jager
8,SPARK,1.5,14-8 (+6),3-2 (+1),80%,0.93,47%,1,1,31%,Blackbeard,Valkyrie
9,BRID,1.18,12-8 (+4),1-0 (+1),80%,0.8,47%,0,0,40%,Hibana,Mira
0,RENUILZ,0.63,4-10 (-6),1-1 (+0),55%,0.36,9%,0,0,67%,Lion,Mute
1,SECRETLY,0.81,8-10 (-2),3-4 (-1),45%,0.73,9%,1,1,0%,Hibana,Castle
2,KRIPPS,0.26,3-11 (-8),0-1 (-1),27%,0.27,0%,0,0,33%,Ash,Jager
3,REDGROOVE,0.44,3-11 (-8),0-1 (-1),45%,0.27,0%,0,0,33%,Ying,Mira
4,SNOOKEN,0.63,6-11 (-5),0-0 (+0),55%,0.55,0%,0,0,17%,Thatcher,Smoke
5,KS,1.61,13-4 (+9),3-1 (+2),82%,1.18,64%,0,0,83%,Jackal,Mira
