,Date,Team 1,Team 2,Team 1 Ban 1,Team 1 Ban 2,Team 1 Ban 3,Team 1 Pick 1,Team 2 Ban 1,Team 2 Ban 2,Team 2 Ban 3,Team 2 Pick 1,decider,Map 1 Round 1 Winner,Map 1 Round 1 Bombsite,Map 1 Round 1 Win Type,Map 1 Round 2 Winner,Map 1 Round 2 Bombsite,Map 1 Round 2 Win Type,Map 1 Round 3 Winner,Map 1 Round 3 Bombsite,Map 1 Round 3 Win Type,Map 1 Round 4 Winner,Map 1 Round 4 Bombsite,Map 1 Round 4 Win Type,Map 1 Round 5 Winner,Map 1 Round 5 Bombsite,Map 1 Round 5 Win Type,Map 1 Round 6 Winner,Map 1 Round 6 Bombsite,Map 1 Round 6 Win Type,Map 1 Round 7 Winner,Map 1 Round 7 Bombsite,Map 1 Round 7 Win Type,Map 2 Round 0 Winner,Map 2 Round 0 Bombsite,Map 2 Round 0 Win Type,Map 2 Round 1 Winner,Map 2 Round 1 Bombsite,Map 2 Round 1 Win Type,Map 2 Round 2 Winner,Map 2 Round 2 Bombsite,Map 2 Round 2 Win Type,Map 2 Round 3 Winner,Map 2 Round 3 Bombsite,Map 2 Round 3 Win Type,Map 2 Round 4 Winner,Map 2 Round 4 Bombsite,Map 2 Round 4 Win Type,Map 2 Round 5 Winner,Map 2 Round 5 Bombsite,Map 2 Round 5 Win Type,Map 2 Round 6 Winner,Map 2 Round 6 Bombsite,Map 2 Round 6 Win Type,Map 2 Round 7 Winner,Map 2 Round 7 Bombsite,Map 2 Round 7 Win Type,Map 3 Round 0 Winner,Map 3 Round 0 Bombsite,Map 3 Round 0 Win Type,Map 3 Round 1 Winner,Map 3 Round 1 Bombsite,Map 3 Round 1 Win Type,Map 3 Round 2 Winner,Map 3 Round 2 Bombsite,Map 3 Round 2 Win Type,Map 3 Round 3 Winner,Map 3 Round 3 Bombsite,Map 3 Round 3 Win Type,Map 3 Round 4 Winner,Map 3 Round 4 Bombsite,Map 3 Round 4 Win Type,Map 3 Round 5 Winner,Map 3 Round 5 Bombsite,Map 3 Round 5 Win Type,Map 1 Round 8 Winner,Map 1 Round 8 Bombsite,Map 1 Round 8 Win Type,Map 3 Round 6 Winner,Map 3 Round 6 Bombsite,Map 3 Round 6 Win Type,Map 1 Round 9 Winner,Map 1 Round 9 Bombsite,Map 1 Round 9 Win Type,Map 1 Round 10 Winner,Map 1 Round 10 Bombsite,Map 1 Round 10 Win Type,Map 1 Round 11 Winner,Map 1 Round 11 Bombsite,Map 1 Round 11 Win Type,Map 2 Round 8 Winner,Map 2 Round 8 Bombsite,Map 2 Round 8 Win Type,Map 2 Round 9 Winner,Map 2 Round 9 Bombsite,Map 2 Round 9 Win Type,Map 3 Round 7 Winner,Map 3 Round 7 Bombsite,Map 3 Round 7 Win Type,Map 3 Round 8 Winner,Map 3 Round 8 Bombsite,Map 3 Round 8 Win Type,Map 3 Round 9 Winner,Map 3 Round 9 Bombsite,Map 3 Round 9 Win Type,Map 2 Round 10 Winner,Map 2 Round 10 Bombsite,Map 2 Round 10 Win Type,Map 3 Round 10 Winner,Map 3 Round 10 Bombsite,Map 3 Round 10 Win Type,Map 1 Round 12 Winner,Map 1 Round 12 Bombsite,Map 1 Round 12 Win Type,Map 2 Round 11 Winner,Map 2 Round 11 Bombsite,Map 2 Round 11 Win Type,Map 2 Round 12 Winner,Map 2 Round 12 Bombsite,Map 2 Round 12 Win Type,Map 1 Round 13 Winner,Map 1 Round 13 Bombsite,Map 1 Round 13 Win Type,Map 3 Round 11 Winner,Map 3 Round 11 Bombsite,Map 3 Round 11 Win Type,Map 3 Round 12 Winner,Map 3 Round 12 Bombsite,Map 3 Round 12 Win Type,Map 4 Round 0 Winner,Map 4 Round 0 Bombsite,Map 4 Round 0 Win Type,Map 4 Round 1 Winner,Map 4 Round 1 Bombsite,Map 4 Round 1 Win Type,Map 4 Round 2 Winner,Map 4 Round 2 Bombsite,Map 4 Round 2 Win Type,Map 4 Round 3 Winner,Map 4 Round 3 Bombsite,Map 4 Round 3 Win Type,Map 4 Round 4 Winner,Map 4 Round 4 Bombsite,Map 4 Round 4 Win Type,Map 4 Round 5 Winner,Map 4 Round 5 Bombsite,Map 4 Round 5 Win Type,Map 4 Round 6 Winner,Map 4 Round 6 Bombsite,Map 4 Round 6 Win Type,Map 4 Round 7 Winner,Map 4 Round 7 Bombsite,Map 4 Round 7 Win Type,Map 4 Round 8 Winner,Map 4 Round 8 Bombsite,Map 4 Round 8 Win Type,Map 4 Round 9 Winner,Map 4 Round 9 Bombsite,Map 4 Round 9 Win Type,Map 4 Round 10 Winner,Map 4 Round 10 Bombsite,Map 4 Round 10 Win Type,Map 4 Round 11 Winner,Map 4 Round 11 Bombsite,Map 4 Round 11 Win Type,Map 4 Round 12 Winner,Map 4 Round 12 Bombsite,Map 4 Round 12 Win Type,Team 1 Pick 2,Team 2 Pick 2,Map 1 Round 14 Winner,Map 1 Round 14 Bombsite,Map 1 Round 14 Win Type,Map 1 Round 15 Winner,Map 1 Round 15 Bombsite,Map 1 Round 15 Win Type,Map 2 Round 13 Winner,Map 2 Round 13 Bombsite,Map 2 Round 13 Win Type,Map 2 Round 14 Winner,Map 2 Round 14 Bombsite,Map 2 Round 14 Win Type,Map 1 Round 16 Winner,Map 1 Round 16 Bombsite,Map 1 Round 16 Win Type,Map 1 Round 17 Winner,Map 1 Round 17 Bombsite,Map 1 Round 17 Win Type,Map 1 Round 18 Winner,Map 1 Round 18 Bombsite,Map 1 Round 18 Win Type,Map 1 Round 19 Winner,Map 1 Round 19 Bombsite,Map 1 Round 19 Win Type,Map 1 Round 20 Winner,Map 1 Round 20 Bombsite,Map 1 Round 20 Win Type,Map 1 Round 21 Winner,Map 1 Round 21 Bombsite,Map 1 Round 21 Win Type,Map 1 Round 22 Winner,Map 1 Round 22 Bombsite,Map 1 Round 22 Win Type,Map 1 Round 23 Winner,Map 1 Round 23 Bombsite,Map 1 Round 23 Win Type,Map 5 Round 0 Winner,Map 5 Round 0 Bombsite,Map 5 Round 0 Win Type,Map 5 Round 1 Winner,Map 5 Round 1 Bombsite,Map 5 Round 1 Win Type,Map 5 Round 2 Winner,Map 5 Round 2 Bombsite,Map 5 Round 2 Win Type,Map 5 Round 3 Winner,Map 5 Round 3 Bombsite,Map 5 Round 3 Win Type,Map 5 Round 4 Winner,Map 5 Round 4 Bombsite,Map 5 Round 4 Win Type,Map 5 Round 5 Winner,Map 5 Round 5 Bombsite,Map 5 Round 5 Win Type,Map 5 Round 6 Winner,Map 5 Round 6 Bombsite,Map 5 Round 6 Win Type,Map 5 Round 7 Winner,Map 5 Round 7 Bombsite,Map 5 Round 7 Win Type,Map 5 Round 8 Winner,Map 5 Round 8 Bombsite,Map 5 Round 8 Win Type,Map 5 Round 9 Winner,Map 5 Round 9 Bombsite,Map 5 Round 9 Win Type,Map 1 Round 24 Winner,Map 1 Round 24 Bombsite,Map 1 Round 24 Win Type,Map 3 Round 13 Winner,Map 3 Round 13 Bombsite,Map 3 Round 13 Win Type,Map 3 Round 14 Winner,Map 3 Round 14 Bombsite,Map 3 Round 14 Win Type,Team 1 Ban 4,Map 5 Round 10 Winner,Map 5 Round 10 Bombsite,Map 5 Round 10 Win Type,Map 5 Round 11 Winner,Map 5 Round 11 Bombsite,Map 5 Round 11 Win Type,Map 5 Round 12 Winner,Map 5 Round 12 Bombsite,Map 5 Round 12 Win Type,Map 5 Round 13 Winner,Map 5 Round 13 Bombsite,Map 5 Round 13 Win Type,Team 1 Pick 3,Map 4 Round 13 Winner,Map 4 Round 13 Bombsite,Map 4 Round 13 Win Type
348,Jul 15 2018,Element Mystic,Aerowolf,,,,,,,,,Club House,Aerowolf,Blue/Sunrise,elimination,Element Mystic,Penthouse/Theater,elimination,Aerowolf,Kitchen/Service,elimination,Element Mystic,Blue/Sunrise,elimination,Aerowolf,Blue/Sunrise,site retake and defuser disable,Aerowolf,Kitchen/Service,elimination,Element Mystic,Kitchen/Service,elimination,Aerowolf,Laundry/Supply,elimination,Element Mystic,Dorms/Kids,elimination,Element Mystic,Laundry/Supply,elimination,Aerowolf,Tower/Rear Stage,elimination,Aerowolf,Dorms/Kids,elimination,Aerowolf,Laundry/Supply,elimination,Element Mystic,Dorms/Kids,elimination,Element Mystic,Tower/Rear Stage,elimination,,,,,,,,,,,,,,,,,,,Element Mystic,Blue/Sunrise,elimination,,,,Element Mystic,Penthouse/Theater,elimination,Aerowolf,Kitchen/Service,elimination,Element Mystic,Blue/Sunrise,elimination,Element Mystic,Laundry/Supply,elimination,Element Mystic,Laundry/Supply,elimination,,,,,,,,,,,,,,,,Element Mystic,Blue/Sunrise,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Jul 18 2018,PNG_SiG,CYCLOPS athlete gaming,,,,,,,,,Border,CYCLOPS athlete gaming,Armory/Archives,elimination,CYCLOPS athlete gaming,Armory/Archives,elimination,PNG_SiG,Armory/Archives,site retake and defuser disable,CYCLOPS athlete gaming,Ventilation/Workshop,elimination,CYCLOPS athlete gaming,Ventilation/Workshop,elimination,CYCLOPS athlete gaming,Armory/Archives,elimination,PNG_SiG,Ventilation/Workshop,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYCLOPS athlete gaming,Ventilation/Workshop,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Jul 18 2018,PNG_SiG,CYCLOPS athlete gaming,,,,,,,,,Bank,CYCLOPS athlete gaming,Lockers/CCTV,elimination,CYCLOPS athlete gaming,Tellers/Archives,elimination,CYCLOPS athlete gaming,CEO/Lounge,elimination,PNG_SiG,Lockers/CCTV,elimination,CYCLOPS athlete gaming,Lockers/CCTV,round timer,CYCLOPS athlete gaming,Lockers/CCTV,elimination,CYCLOPS athlete gaming,Lockers/CCTV,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Jul 18 2018,Sengoku,NORA-Rengo,,,,,,,,,Border,NORA-Rengo,Armory/Archives,elimination,NORA-Rengo,Ventilation/Workshop,round timer,NORA-Rengo,Customs/Supply,elimination,NORA-Rengo,Armory/Archives,elimination,NORA-Rengo,Ventilation/Workshop,elimination,Sengoku,Armory/Archives,round timer,Sengoku,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sengoku,Ventilation/Workshop,elimination,,,,NORA-Rengo,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Jul 18 2018,Sengoku,NORA-Rengo,,,,,,,,,Consulate,NORA-Rengo,Garage/Cafeteria,elimination,NORA-Rengo,CEO/Meeting,round timer,NORA-Rengo,Lobby/Piano,elimination,Sengoku,Garage/Cafeteria,elimination,NORA-Rengo,CEO/Meeting,elimination,NORA-Rengo,CEO/Meeting,bomb defuse,NORA-Rengo,CEO/Meeting,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Jul 19 2018,Rsk Ninja Gaming,eiNs,,,,,,,,,Coastline,Rsk Ninja Gaming,Blue/Sunrise,elimination,Rsk Ninja Gaming,Blue/Sunrise,elimination,eiNs,Blue/Sunrise,elimination,Rsk Ninja Gaming,Kitchen/Service,elimination,eiNs,Kitchen/Service,elimination,Rsk Ninja Gaming,Penthouse/Theater,round timer,Rsk Ninja Gaming,Blue/Sunrise,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eiNs,Hookah/Billiards,elimination,,,,eiNs,Penthouse/Theater,elimination,eiNs,Penthouse/Theater,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Jul 19 2018,Rsk Ninja Gaming,eiNs,,,,,,,,,Consulate,eiNs,CEO/Meeting,elimination,eiNs,Lobby/Piano,elimination,eiNs,Garage/Cafeteria,elimination,Rsk Ninja Gaming,CEO/Meeting,bomb defuse,eiNs,CEO/Meeting,elimination,eiNs,Lobby/Piano,elimination,Rsk Ninja Gaming,Lobby/Piano,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rsk Ninja Gaming,Garage/Cafeteria,elimination,,,,eiNs,CEO/Meeting,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Jul 19 2018,Path Finder,ReV,,,,,,,,,Border,ReV,Armory/Archives,elimination,ReV,Armory/Archives,elimination,ReV,Ventilation/Workshop,elimination,ReV,Ventilation/Workshop,elimination,Path Finder,Armory/Archives,elimination,Path Finder,Armory/Archives,elimination,Path Finder,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Path Finder,Ventilation/Workshop,bomb defuse,,,,ReV,Armory/Archives,elimination,ReV,Ventilation/Workshop,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Jul 19 2018,Path Finder,ReV,,,,,,,,,Consulate,ReV,Garage/Cafeteria,elimination,Path Finder,CEO/Meeting,elimination,ReV,CEO/Meeting,elimination,ReV,Garage/Cafeteria,elimination,ReV,Lobby/Piano,elimination,Path Finder,CEO/Meeting,elimination ,ReV,Garage/Cafeteria,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReV,Garage/Cafeteria,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Jul 12 2018,Fnatic,Outlaw Gaming,Border,Club House,,,Consulate,Coastline,,,Villa,Fnatic,Living/Library,elimination,Outlaw Gaming,Living/Library,round timer,Fnatic,Kitchen/Dining,elimination,Fnatic,Kitchen/Dining,elimination,Fnatic,Living/Library,elimination,Fnatic,Aviator/Game Room,elimination,Fnatic,Trophy/Statue,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Jul 12 2018,Fnatic,Outlaw Gaming,Oregon,Club House,,,Consulate,Coastline,,,Border,Fnatic,Armory/Archives,elimination,Fnatic,Armory/Archives,elimination,Fnatic,Ventilation/Workshop,elimination,Fnatic,Ventilation/Workshop,elimination,Fnatic,Armory/Archives,elimination,Fnatic,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Jul 18 2018,TABOO,Outlaw Gaming,,,,,,,,,Club House,Outlaw Gaming,Cash/CCTV,elimination,TABOO,Master/Gym,elimination,TABOO,Cash/CCTV,elimination,TABOO,Church/Arsenal,elimination,TABOO,Master/Gym,elimination,Outlaw Gaming,Cash/CCTV,elimination,Outlaw Gaming,Church/Arsenal,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TABOO,Master/Gym,elimination,,,,TABOO,Cash/CCTV,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Jul 18 2018,TABOO,Outlaw Gaming,,,,,,,,,Border,TABOO,Armory/Archives,elimination,TABOO,Ventilation/Workshop,elimination,TABOO,Armory/Archives,elimination,TABOO,Armory/Archives,elimination,Outlaw Gaming,Ventilation/Workshop,elimination,TABOO,Armory/Archives,elimination,TABOO,Ventilation/Workshop,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Jul 18 2018,Athletico Esports,DedSet,,,,,,,,,Oregon,Athletico Esports,Laundry/Supply,elimination,Athletico Esports,Laundry/Supply,elimination,Athletico Esports,Laundry/Supply,elimination,Athletico Esports,Dorms/Kids,elimination,Athletico Esports,Dorms/Kids,elimination,Athletico Esports,Dorms/Kids,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Jul 18 2018,Athletico Esports,DedSet,,,,,,,,,Coastline,Athletico Esports,Kitchen/Service,elimination,Athletico Esports,Kitchen/Service,elimination,Athletico Esports,Blue/Sunrise,elimination,Athletico Esports,Blue/Sunrise,elimination,DedSet,Penthouse/Theater,elimination,Athletico Esports,Blue/Sunrise,elimination,Athletico Esports,Kitchen/Service,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Jul 19 2018,Control eSports,Viewsonic Darksided,,,,,,,,,Oregon,Control eSports,Dorms/Kids,elimination,Viewsonic Darksided,Laundry/Supply,elimination,Viewsonic Darksided,Laundry/Supply,elimination,Control eSports,Dorms/Kids,site retake and defuser disable,Control eSports,Tower/Rear Stage,site retake and defuser disable,Viewsonic Darksided,Laundry/Supply,elimination,Viewsonic Darksided,Dorms/Kids,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control eSports,Kitchen/Dining,bomb defuse,,,,Viewsonic Darksided,Laundry/Supply,site retake and defuser disable,Viewsonic Darksided,Dorms/Kids,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Jul 19 2018,Control eSports,Viewsonic Darksided,,,,,,,,,Villa,Viewsonic Darksided,Aviator/Game Room,elimination,Control eSports,Trophy/Statue,elimination,Viewsonic Darksided,Kitchen/Dining,elimination,Viewsonic Darksided,Aviator/Game Room,elimination,Viewsonic Darksided,Trophy/Statue,elimination,Control eSports,Kitchen/Dining,elimination,Control eSports,Trophy/Statue,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viewsonic Darksided,Aviator/Game Room,elimination,,,,Control eSports,Kitchen/Dining,round timer,Viewsonic Darksided,Trophy/Statue,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Jul 19 2018,Freshman Class 2018,Fnatic,Coastline,Club House,,,Oregon,Bank,,,,Freshman Class 2018,Lobby/Piano,elimination,Fnatic,Garage/Cafeteria,elimination,Freshman Class 2018,CEO/Meeting,elimination,Fnatic,Lobby/Piano,elimination,Fnatic,Lobby/Piano,elimination,Fnatic,Garage/Cafeteria,site retake and defuser disable,Fnatic,CEO/Meeting,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freshman Class 2018,Lobby/Piano,elimination,,,,Fnatic,Garage/Cafeteria,round timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Jul 19 2018,Freshman Class 2018,Fnatic,Villa,Bank,,,Oregon,Border,,,Club House,Freshman Class 2018,Cash/CCTV,round timer,Fnatic,Master/Gym,elimination,Freshman Class 2018,Church/Arsenal,elimination,Freshman Class 2018,Cash/CCTV,elimination,Fnatic,Master/Gym,elimination,Fnatic,Church/Arsenal,elimination,Fnatic,Cash/CCTV,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fnatic,Master/Gym,elimination,,,,Fnatic,Church/Arsenal,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Jul 18 2018,uR,Tyrant,,,,,,,,,Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Jul 18 2018,uR,Tyrant,,,,,,,,,Club House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Jul 18 2018,Mad Dogs Gaming,New Life,,,,,,,,,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Jul 18 2018,Mad Dogs Gaming,New Life,,,,,,,,,Consulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Jul 19 2018,AsB,JCL,,,,,,,,,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
